DY
1000
4
D0;D1;D2;D3
P0;0.25912;0.38888;0.046511;0.90771;1.0
P1;0.50822;0.58018;0.62788;0.50118;2.0
P2;0.97324;0.49293;0.33897;0.16613;2.0
P3;0.81823;0.55893;0.0062903;0.19241;3.0
P4;0.85876;0.85461;0.92063;0.52849;3.0
P5;0.89662;0.69146;0.19111;0.9142;1.0
P6;0.2995;0.045329;0.59591;0.035803;1.0
P7;0.88003;0.90106;0.80343;0.16379;1.0
P8;0.25521;0.25425;0.22702;0.15585;3.0
P9;0.19215;0.5557;0.86235;0.48841;2.0
P10;0.18662;0.61324;0.89441;0.38102;3.0
P11;0.86111;0.82017;0.25931;0.771;1.0
P12;0.4446;0.54852;0.80291;0.14093;2.0
P13;0.38661;0.026271;0.34428;0.67033;1.0
P14;0.83201;0.83752;0.14299;0.57511;1.0
P15;0.20649;0.96075;0.78233;0.81902;1.0
P16;0.8978;0.83116;0.88102;0.60729;3.0
P17;0.4595;0.40224;0.83031;0.73076;2.0
P18;0.16345;0.50319;0.38363;0.74377;2.0
P19;0.26875;0.65265;0.19712;0.61926;3.0
P20;0.5207;0.69609;0.5122;0.24807;2.0
P21;0.77237;0.77972;0.27781;0.14483;3.0
P22;0.38739;0.87844;0.10312;0.48561;2.0
P23;0.044425;0.23001;0.18975;0.38478;3.0
P24;0.98685;0.80036;0.12955;0.047642;3.0
P25;0.52302;0.75322;0.24061;0.033204;2.0
P26;0.84368;0.98234;0.5632;0.63118;3.0
P27;0.89186;0.11109;0.72827;0.30944;3.0
P28;0.68559;0.71686;0.75658;0.1877;1.0
P29;0.51784;0.66669;0.14686;0.76585;2.0
P30;0.44196;0.17798;0.12108;0.61078;1.0
P31;0.38014;0.35468;0.16636;0.71997;1.0
P32;0.031844;0.38981;0.43843;0.59407;2.0
P33;0.21588;0.58508;0.29691;0.7228;3.0
P34;0.085304;0.19461;0.54257;0.90879;3.0
P35;0.79688;0.17313;0.92444;0.12708;3.0
P36;0.40181;0.91787;0.25258;0.76002;3.0
P37;0.049794;0.35455;0.5996;0.088641;1.0
P38;0.31649;0.068126;0.2413;0.68271;1.0
P39;0.87122;0.19642;0.33914;0.90911;3.0
P40;0.93141;0.50354;0.66437;0.15418;2.0
P41;0.42573;0.39276;0.056811;0.93923;1.0
P42;0.86616;0.90531;0.98918;0.94151;3.0
P43;0.48064;0.24339;0.90399;0.43648;2.0
P44;0.90834;0.23289;0.79406;0.2459;3.0
P45;0.25053;0.016065;0.084792;0.071456;3.0
P46;0.52664;0.45002;0.92822;0.85374;2.0
P47;0.24483;0.69553;0.55618;0.59474;2.0
P48;0.83844;0.70595;0.29219;0.5758;1.0
P49;0.52572;0.45999;0.012561;0.35199;2.0
P50;0.3498;0.097743;0.41829;0.86463;1.0
P51;0.25713;0.64926;0.99946;0.067735;3.0
P52;0.16883;0.62745;0.67354;0.20106;3.0
P53;0.59923;0.14896;0.54985;0.90828;2.0
P54;0.81099;0.20207;0.77195;0.19261;3.0
P55;0.84892;0.66271;0.31969;0.13114;3.0
P56;0.84477;0.32945;0.6893;0.77505;1.0
P57;0.235;0.28045;0.36484;0.71366;1.0
P58;0.50829;0.41151;0.073261;0.46905;2.0
P59;0.66935;0.85356;0.91789;0.35722;1.0
P60;0.090741;0.30453;0.10276;0.13509;3.0
P61;0.543;0.75969;0.74845;0.11212;1.0
P62;0.29799;0.5472;0.78429;0.48263;2.0
P63;0.38184;0.77782;0.35314;0.9259;3.0
P64;0.53389;0.78706;0.021157;0.22615;3.0
P65;0.42653;0.94382;0.016422;0.089469;1.0
P66;0.23204;0.11263;0.33899;0.50707;2.0
P67;0.028419;0.86659;0.72046;0.30097;3.0
P68;0.026028;0.8497;0.9014;0.77496;1.0
P69;0.2743;0.29513;0.47366;0.0073747;2.0
P70;0.69448;0.23336;0.055742;0.25114;1.0
P71;0.33;0.47721;0.40777;0.66521;2.0
P72;0.75049;0.19106;0.33576;0.19606;1.0
P73;0.79565;0.91399;0.3041;0.99362;1.0
P74;0.053742;0.31586;0.29649;0.75618;1.0
P75;0.0092239;0.10874;0.97142;0.32847;1.0
P76;0.72812;0.43928;0.57529;0.54122;2.0
P77;0.66439;0.53788;0.23737;0.47835;2.0
P78;0.58533;0.049176;0.91166;0.21677;3.0
P79;0.91904;0.55143;0.037761;0.7935;1.0
P80;0.16734;0.59143;0.55703;0.63821;2.0
P81;0.97196;0.27524;0.67447;0.76457;1.0
P82;0.21961;0.41843;0.93253;0.73981;3.0
P83;0.038249;0.49913;0.98848;0.12716;2.0
P84;0.22896;0.61315;0.17239;0.68403;3.0
P85;0.70777;0.83828;0.0029807;0.74728;1.0
P86;0.35262;0.8964;0.12321;0.35808;1.0
P87;0.70949;0.48669;0.16428;0.19062;2.0
P88;0.58869;0.25073;0.57167;0.57439;2.0
P89;0.10876;0.15207;0.56742;0.26235;1.0
P90;0.64682;0.62245;0.75767;0.39173;2.0
P91;0.73111;0.85867;0.11049;0.32104;3.0
P92;0.86338;0.89075;0.73538;0.27014;1.0
P93;0.022648;0.15708;0.53314;0.0046972;1.0
P94;0.1512;0.59673;0.46407;0.31285;2.0
P95;0.52519;0.83478;0.59443;0.66109;2.0
P96;0.22656;0.81007;0.98321;0.50692;2.0
P97;0.84166;0.79763;0.36518;0.87813;1.0
P98;0.43003;0.87841;0.27546;0.076109;1.0
P99;0.29939;0.40144;0.32796;0.96439;1.0
P100;0.57717;0.83788;0.88782;0.13291;1.0
P101;0.34475;0.62605;0.77577;0.59695;2.0
P102;0.85701;0.20699;0.23168;0.37865;1.0
P103;0.28657;0.37642;0.65062;0.39813;2.0
P104;0.44095;0.70876;0.03186;0.78825;3.0
P105;0.76639;0.028757;0.97512;0.53833;1.0
P106;0.38301;0.28311;0.11479;0.4534;2.0
P107;0.2388;0.62233;0.14239;0.01423;1.0
P108;0.39391;0.10328;0.71914;0.31825;1.0
P109;0.19583;0.36987;0.3279;0.27301;3.0
P110;0.4407;0.50114;0.67792;0.40191;2.0
P111;0.6184;0.32365;0.10174;0.22999;1.0
P112;0.23186;0.89549;0.55987;0.68343;1.0
P113;0.87143;0.70199;0.12277;0.3645;3.0
P114;0.73142;0.12055;0.2509;0.19266;1.0
P115;0.31995;0.99505;0.57018;0.12057;3.0
P116;0.81178;0.94392;0.0088831;0.65173;1.0
P117;0.45886;0.78738;0.46846;0.31207;2.0
P118;0.67597;0.62177;0.29404;0.070278;3.0
P119;0.28779;0.95071;0.25934;0.64996;3.0
P120;0.73052;0.11109;0.51948;0.8489;2.0
P121;0.73422;0.87692;0.50107;0.10133;2.0
P122;0.70793;0.76806;0.064558;0.34236;3.0
P123;0.20947;0.68507;0.48483;0.21163;2.0
P124;0.17116;0.71925;0.8193;0.091206;3.0
P125;0.53374;0.60623;0.65966;0.25262;2.0
P126;0.70886;0.13553;0.19415;0.20702;1.0
P127;0.0010128;0.56777;0.95887;0.61605;1.0
P128;0.19098;0.34633;0.95393;0.89185;3.0
P129;0.73601;0.67827;0.9069;0.71641;3.0
P130;0.99554;0.33912;0.38107;0.86522;3.0
P131;0.19713;0.32833;0.64179;0.83825;3.0
P132;0.23289;0.21448;0.82031;0.019567;1.0
P133;0.33519;0.37178;0.41696;0.33124;2.0
P134;0.13903;0.44108;0.71782;0.056253;1.0
P135;0.33652;0.46703;0.8323;0.67265;3.0
P136;0.56615;0.26469;0.6694;0.23808;3.0
P137;0.46099;0.89016;0.557;0.47493;2.0
P138;0.89155;0.050406;0.95982;0.055083;3.0
P139;0.1174;0.44914;0.8947;0.84048;3.0
P140;0.10618;0.89546;0.12593;0.59987;3.0
P141;0.39189;0.91123;0.45322;0.27945;2.0
P142;0.69674;0.1598;0.30337;0.96504;3.0
P143;0.88853;0.58435;0.12696;0.087734;3.0
P144;0.046204;0.44691;0.32043;0.046899;3.0
P145;0.29218;0.97342;0.3694;0.61763;3.0
P146;0.95375;0.77711;0.85705;0.96851;3.0
P147;0.76097;0.95597;0.18093;0.12633;3.0
P148;0.055771;0.23699;0.099291;0.3714;3.0
P149;0.028424;0.063711;0.017634;0.27367;3.0
P150;0.92707;0.22923;0.79786;0.12912;3.0
P151;0.37059;0.78142;0.25654;0.38599;2.0
